pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
AU Mic b,AU Mic,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.4629991,,,0,0.0645,0.0013,-0.0013,0,,,,,,,,,20.12,1.57,-1.72,0,0.0633,0.00494,-0.00541,0,Mass,0.186,0.036,-0.035,0,,,,,,,,,1,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,,,,,,,,,,0.5,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2022-05-09,2021-12,2022-05-09
AU Mic c,AU Mic,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,18.858991,,,0,0.1101,0.002,-0.002,0,,,,,,,,,9.6,2.07,-2.31,0,0.0302,0.00651,-0.00727,0,Mass,,,,,,,,,,,,,0,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,,,,,,,,,,0.5,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2022-05-09,2021-12,2022-05-09
DS Tuc A b,DS Tuc A,1,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.138268,0.000011,-0.000011,0,,,,,5.7,0.17,-0.17,0,0.509,0.015,-0.015,0,,,,,,,,,,0,,,0,,,,,850,,,0,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428,80,-80,0,0.96,0.03,-0.03,0,1.01,0.06,-0.06,0,0,,,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,44.0622,0.0693,-0.0691,8.17,0.03,-0.03,6.676,0.034,-0.034,8.31926,0.001025,-0.001025,2019-07-03,2019-07,2019-07-11
GJ 1252 b,GJ 1252,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220809479C/abstract target=ref>Crossfield et al. 2022</a>,0.5182416,0.00000069,-0.00000069,0,0.00915,0.00015,-0.00015,0,1.18,0.078,-0.078,0,0.105,0.007,-0.007,0,1.32,0.28,-0.28,0,0.00415,0.00088,-0.00088,0,Mass,,,,,233,48,-41,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220809479C/abstract target=ref>Crossfield et al. 2022</a>,,3458,137,-137,0,0.39,0.02,-0.02,0,0.38,0.02,-0.02,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,20.373,0.0192,-0.0192,12.68,0.2,-0.2,7.915,0.023,-0.023,11.2364,0.000806,-0.000806,2022-09-19,2022-08,2022-09-26
GJ 143 b,GJ 143,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,35.61253,0.0006,-0.00062,0,0.1915,0.0058,-0.0063,0,2.61,0.17,-0.16,0,0.233,0.015,-0.014,0,22.7,2.2,-1.9,0,0.07142,0.00692,-0.00598,0,Mass,0.188,0.076,-0.078,0,,,,,422,15,-14,0,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640,100,-100,0,0.69,0.03,-0.03,0,0.73,0.07,-0.07,0,0.003,0.06,-0.06,0,[Fe/H],4.61,0.05,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,51.7501882,-63d30m00.60s,-63.500166,16.32,0.0071,-0.0071,8.08,0.03,-0.03,5.375,0.024,-0.024,7.67906,0.00026,-0.00026,2019-04-22,2019-04,2019-04-25
GJ 3090 b,GJ 3090,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.853136,0.000064,-0.000038,0,0.03165,0.00027,-0.00027,0,2.13,0.11,-0.11,0,0.19,0.01,-0.01,0,3.34,0.72,-0.72,0,0.01051,0.00227,-0.00227,0,Mass,0.32,,,1,,,,,693,18,-18,0,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,M2 V,3556,70,-70,0,0.52,0.02,-0.02,0,0.52,0.01,-0.01,0,-0.06,0.12,-0.12,0,[Fe/H],4.73,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h21m45.22s,20.4384281,-46d42m53.00s,-46.7147234,22.4751,0.02605,-0.02605,11.403,0.026,-0.026,7.294,0.026,-0.026,10.5521,0.000938,-0.000938,2022-09-14,2022-07,2022-09-14
GJ 3473 b,GJ 3473,1,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,1.1980035,0.0000018,-0.0000019,0,0.01589,0.00062,-0.00062,0,1.264,0.05,-0.049,0,0.113,0.004,-0.004,0,1.86,0.3,-0.3,0,0.00585,0.00094,-0.00094,0,Mass,0,,,0,59.4,5,-4.5,0,773,16,-15,0,0,<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,,3347,54,-54,0,0.36,0.01,-0.01,0,0.36,0.02,-0.02,0,0.11,0.19,-0.19,0,[Fe/H],4.81,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h02m22.47s,120.5936065,+03d20m13.79s,3.3371629,27.3644,0.0376,-0.0376,13.74,0.027,-0.027,8.829001,0.024,-0.024,12.465,0.000343,-0.000343,2020-10-16,2020-10,2020-10-22
GJ 357 b,GJ 357,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,3.93072,0.00008,-0.00006,0,0.035,0.002,-0.002,0,1.217,0.084,-0.083,0,0.109,0.007,-0.007,0,1.84,0.31,-0.31,0,0.00579,0.00098,-0.00098,0,Mass,,,,,12.6,1.1,-0.8,0,525,11,-9,0,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,M2.5 V,3505,51,-51,0,0.34,0.01,-0.01,0,0.34,0.01,-0.01,0,-0.12,0.16,-0.16,0,[Fe/H],4.94,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m01.79s,144.0074644,-21d39m54.23s,-21.6650634,9.44181,0.00511,-0.00511,10.91,0.1,-0.1,6.475,0.017,-0.017,9.88036,0.00144,-0.00144,2019-08-09,2019-08,2019-08-15
GJ 367 b,GJ 367,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,0.321962,0.00001,-0.000012,0,0.0071,0.0002,-0.0002,0,0.718,0.054,-0.054,0,0.064,0.005,-0.005,0,0.546,0.078,-0.078,0,0.00172,0.00025,-0.00025,0,Mass,0,,,0,,,,,1745,43,-43,0,0,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,M1.0 V,3522,70,-70,0,0.46,0.01,-0.01,0,0.45,0.01,-0.01,0,-0.01,0.12,-0.12,0,[Fe/H],4.78,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,9.41263,0.002835,-0.002835,10.153,0.044,-0.044,5.78,0.02,-0.02,9.15159,0.00065,-0.00065,2021-12-02,2021-12,2021-12-02
GJ 3929 b,GJ 3929,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2.616235,0.000005,-0.000005,0,0.0252,0.0005,-0.0005,0,1.09,0.04,-0.04,0,0.097,0.004,-0.004,0,1.75,0.44,-0.45,0,0.00551,0.00138,-0.00142,0,Mass,0,,,0,17.3,0.7,-0.7,0,568,6,-6,0,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,,3384,88,-88,0,0.32,0.01,-0.01,0,0.31,0.03,-0.02,0,-0.02,0.12,-0.12,0,[Fe/H],4.89,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,15.8095,0.0096,-0.0095,12.675,0.023,-0.023,7.869,0.02,-0.02,11.5109,0.000681,-0.000681,2022-08-01,2022-07,2022-08-01
HD 108236 b,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,3.795963,0.000025,-0.000034,0,0.04527,0.00096,-0.00088,0,1.615,0.051,-0.051,0,0.144,0.005,-0.005,0,,,,,,,,,,0.045,0.039,-0.033,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,2021-01-21,2021-02,2021-01-28
HD 108236 c,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,6.203449,0.000049,-0.000046,0,0.062,0.0012,-0.0012,0,2.071,0.052,-0.052,0,0.185,0.005,-0.005,0,,,,,,,,,,0.034,0.042,-0.025,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,2021-01-21,2021-02,2021-01-28
HD 108236 d,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,14.175685,0.000083,-0.0001,0,0.1074,0.0023,-0.0023,0,2.539,0.062,-0.065,0,0.227,0.006,-0.006,0,,,,,,,,,,0.055,0.038,-0.035,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,2021-01-21,2021-02,2021-01-28
HD 108236 e,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,19.590025,0.000083,-0.000089,0,0.1367,0.0022,-0.002,0,3.083,0.052,-0.052,0,0.275,0.005,-0.005,0,,,,,,,,,,0.058,0.032,-0.036,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,2021-01-21,2021-02,2021-01-28
HD 110082 b,HD 110082,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TOFFLEMIRE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..171T/abstract target=ref>Tofflemire et al. 2021</a>,10.18271,0.00004,-0.00004,0,0.113,0.009,-0.013,0,3.2,0.1,-0.1,0,0.285,0.009,-0.009,0,,,,,,,,,,0.2,0.2,-0.1,0,,,,,,,,,0,<a refstr=TOFFLEMIRE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..171T/abstract target=ref>Tofflemire et al. 2021</a>,F8 V,6200,100,-100,0,1.19,0.06,-0.06,0,1.21,0.06,-0.06,0,0.08,0.05,-0.05,0,[Fe/H],4.2,0.3,-0.3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h50m21.43s,192.5892855,-88d07m16.00s,-88.1211107,105.096,0.266,-0.266,9.23,0.03,-0.03,8.002,0.031,-0.031,9.11523,0.00034,-0.00034,2021-02-25,2021-04,2021-03-04
HD 110113 b,HD 110113,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,2.541,0.0005,-0.001,0,0.035,0.001,-0.001,0,2.05,0.12,-0.12,0,0.183,0.011,-0.011,0,4.55,0.62,-0.62,0,0.01432,0.00195,-0.00195,0,Mass,0.093,0.079,-0.064,0,735.49,29.39,-29.39,0,1371,14,-14,0,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,G,5732,50,-50,0,0.97,0.02,-0.02,0,1,0.06,-0.06,0,0.14,0.02,-0.02,0,[Fe/H],4.46,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.307,0.724,-0.715,10.09,0.03,-0.03,8.502,0.024,-0.024,9.91036,0.000452,-0.000452,2021-02-05,2021-04,2021-02-11
HD 1397 b,HD 1397,1,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.100N/abstract target=ref>Nielsen et al. 2019</a>,11.53533,0.00079,-0.0008,0,0.1097,0.0011,-0.0013,0,11.5,0.28,-0.303,0,1.026,0.025,-0.027,0,131.89945,6.3566,-6.3566,0,0.415,0.02,-0.02,0,Mass,0.251,0.02,-0.019,0,356,12,-12,0,1228,10,-10,0,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.100N/abstract target=ref>Nielsen et al. 2019</a>,,5521,60,-60,0,2.34,0.05,-0.06,0,1.32,0.04,-0.05,0,0.29,0.09,-0.09,0,[Fe/H],3.82,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h17m47.32s,4.4471631,-66d21m32.14s,-66.3589285,79.5702,0.1738,-0.1731,7.79,0.03,-0.03,5.988,0.018,-0.018,7.59336,0.000278,-0.000278,2019-07-19,2019-03,2019-07-25
HD 152843 b,HD 152843,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=EISNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1332E/abstract target=ref>Eisner et al. 2021</a>,11.6264,0.0022,-0.0025,0,0.1053,0.003,-0.0031,0,3.41,0.14,-0.12,0,0.304,0.012,-0.011,0,11.56,6.58,-6.14,0,0.03637,0.0207,-0.01932,0,Mass,0.14,0.25,-0.1,0,255.7,21.6,-19.7,0,,,,,0,<a refstr=EISNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1332E/abstract target=ref>Eisner et al. 2021</a>,G0,6310,100,-100,0,1.43,0.02,-0.02,0,1.15,0.04,-0.04,0,-0.16,0.05,-0.05,0,[Fe/H],4.19,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h55m08.37s,253.7848853,+20d29m29.49s,20.491524,107.898,0.318,-0.316,8.855,0.002,-0.002,7.629,0.02,-0.02,8.76412,0.000237,-0.000237,2021-06-11,2021-05,2021-06-11
HD 152843 c,HD 152843,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=EISNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1332E/abstract target=ref>Eisner et al. 2021</a>,24.38,6.23,-3.4,0,,,,,5.83,0.14,-0.14,0,0.52,0.012,-0.012,0,27.5,,,1,0.08652,,,1,Mass,0.115,0.173,-0.08,0,,,,,,,,,0,<a refstr=EISNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1332E/abstract target=ref>Eisner et al. 2021</a>,G0,6310,100,-100,0,1.43,0.02,-0.02,0,1.15,0.04,-0.04,0,-0.16,0.05,-0.05,0,[Fe/H],4.19,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h55m08.37s,253.7848853,+20d29m29.49s,20.491524,107.898,0.318,-0.316,8.855,0.002,-0.002,7.629,0.02,-0.02,8.76412,0.000237,-0.000237,2021-06-11,2021-05,2021-06-11
HD 15337 b,HD 15337,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,4.75615,0.00017,-0.00017,0,0.0522,0.0012,-0.0012,0,1.64,0.06,-0.06,0,0.146,0.005,-0.005,0,7.51,1.09,-1.01,0,0.02363,0.00343,-0.00318,0,Mass,0.09,0.05,-0.05,0,,,,,1001,12,-12,0,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,K1 V,5125,50,-50,0,0.86,0.02,-0.02,0,0.9,0.03,-0.03,0,0.15,0.1,-0.1,0,[Fe/H],4.53,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.8155,0.0707,-0.0704,9.1,0.03,-0.03,7.044,0.018,-0.018,8.85598,0.000178,-0.000178,2019-05-14,2019-05,2019-05-16
HD 15337 c,HD 15337,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,17.1784,0.0016,-0.0016,0,0.1268,0.0038,-0.0038,0,2.39,0.12,-0.12,0,0.213,0.011,-0.011,0,8.11,1.82,-1.69,0,0.02552,0.00573,-0.00532,0,Mass,0.05,0.06,-0.04,0,,,,,642,10,-10,0,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,K1 V,5125,50,-50,0,0.86,0.02,-0.02,0,0.9,0.03,-0.03,0,0.15,0.1,-0.1,0,[Fe/H],4.53,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.8155,0.0707,-0.0704,9.1,0.03,-0.03,7.044,0.018,-0.018,8.85598,0.000178,-0.000178,2019-05-14,2019-05,2019-05-16
HD 183579 b,HD 183579,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PALATNICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...909L...6P/abstract target=ref>Palatnick et al. 2021</a>,17.471278,0.000058,-0.00006,0,0.1334,0.0062,-0.0061,0,3.55,0.15,-0.12,0,0.317,0.013,-0.011,0,19.7,4,-3.9,0,0.06198,0.01259,-0.01227,0,Mass,0.28,,,0,58.1,5.3,-3.9,0,769,17,-13,0,0,<a refstr=PALATNICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...909L...6P/abstract target=ref>Palatnick et al. 2021</a>,,5788,44,-44,0,0.98,0.04,-0.03,0,1.03,0.03,-0.03,0,-0.023,0.05,-0.05,0,[Fe/H],4.5,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h33m08.79s,293.2866147,-54d31m57.82s,-54.5327284,57.2651,0.1875,-0.1864,8.67,0.03,-0.03,7.15,0.027,-0.027,8.51549,0.000259,-0.000259,2021-03-01,2021-03,2021-03-04
